t_ms,air,egr,oxy
0.0,0.0,0.0,0.0
0.001,0.005007605049920543,3.218852063851748e-05,0.0
0.00111658169601714,0.005710683710580137,3.636434805316121e-05,0.0
0.0012467546838805126,0.006517077292050157,4.1125847267527313e-05,0.0
0.001392103459444616,0.007441574030201445,4.656263755444853e-05,0.0
0.0015543972417779973,0.00850071952496079,5.2778746308971675e-05,0.0
0.001735611508508844,0.00971292277292433,5.989459039036809e-05,0.0
0.0019379520417976716,0.011098553604526723,6.804923837188378e-05,0.0
0.0021638817776303233,0.012680035871453171,7.740281956366757e-05,0.0
0.0024161507852470503,0.014481937555267572,8.813885783390276e-05,0.0
0.002697829741624296,0.016531074476843263,0.00010046737448123115,0.0
0.0030123473084683384,0.01885664564282415,0.00011462726081720907,0.0
0.003363531866682244,0.021490414758979406,0.0001308886967333282,0.0
0.003755658116307765,0.0244669671875993,0.0001495569078010207,0.0
0.0041934991091674605,0.027824075787097443,0.00017097299382654848,0.0
0.004682384347560568,0.031603192149215246,0.00019551656744146325,0.0
0.005228264656203289,0.03585008618943919,0.00022360932187681477,0.0
0.0058377846170499376,0.040615619765607625,0.00025571881071564814,0.0
0.0065183634486883895,0.04595668296374375,0.00029235956563625334,0.0
0.0072782853147926145,0.05193720917189201,0.0003340949424752536,0.0
0.00812680016088778,0.05862927763710657,0.0003815402807810212,0.0
0.009074236306836445,0.06611426055997868,0.00043536888290581475,0.0
0.010132126165547766,0.0744839924482642,0.000496316040730786,0.0
0.011313346618186965,0.08384201016883944,0.0005651812417585133,0.0
0.012632275754564977,0.09430484226352827,0.0006428392028141664,0.0
0.014104967886588358,0.10600343503756582,0.0007302496517409942,0.0
0.015749348965074125,0.11908474253228044,0.0008284738106771887,0.0
0.017585434778588253,0.13371356657640826,0.0009386888901242798,0.0
0.019635574590274867,0.15007454099186443,0.0010622058964333723,0.0
0.021924723178280214,0.16837454912254357,0.001200499601727054,0.0
0.02448074459111037,0.18884523712338155,0.001355233039719795,0.0
0.0273347513153045,0.21174589435793523,0.0015282792930348744,0.0
0.030521482983849442,0.23736664221710135,0.001721750689857638,0.0
0.03407972923506489,0.26603187202080214,0.001938033020657988,0.0
0.03805280186909366,0.298104134392194,0.002179809946172282,0.0
0.042489062049196794,0.3339882325920805,0.002450093200359767,0.0
0.04744250896506975,0.374135850495541,0.002752266488632899,0.0
0.052973437123525834,0.4190505594414012,0.003090130034366514,0.0
0.05914917026724392,0.4692933693932997,0.0034679445670284096,0.0
0.0660448808550058,0.5254888733008724,0.0038904845720714024,0.0
0.07374450507833231,0.5883321766878808,0.004363100755752162,0.0
0.08234176455230889,0.6585966964869561,0.0048917961444642135,0.0
0.09194130711686106,0.7371430700055304,0.005483303411834545,0.0
0.10265998063457747,0.8249293534296144,0.006145170505116187,0.0
0.11462825529004338,0.9230227086257908,0.006885857245919583,0.0
0.1279918117032423,1.0326127489144667,0.007714845742755929,0.0
0.14291331418791273,1.1550266688983417,0.008642761349522885,0.0
0.15957439073937013,1.2917462405890892,0.009681502953891535,0.0
0.17817784385266772,1.4444267292760173,0.01084438864505711,0.0
0.19895011908168886,1.6149177850829877,0.012146315908883425,0.0
0.2221440613870441,1.8052864290712665,0.01360393494217355,0.0
0.24804199282368133,2.0178423388526556,0.015235839217182159,0.0
0.27695914903053764,2.2551657668262486,0.017062773737031217,0.0
0.30924751635198156,2.520138500230096,0.0191078622612614,0.0
0.3453001162973838,2.815978356573181,0.021396857077616252,0.0
0.3855557894902488,3.1462777286870094,0.023958415488184653,0.0
0.43050453733824945,3.515046687110521,0.02682440845520137,0.0
0.4806934864442167,3.9267611631969337,0.030030267568236076,0.0
0.5367335483582755,4.386416764938544,0.03361537998969339,0.0
0.5993068557351809,4.899588814556388,0.03762354099198022,0.0
0.6691750654114883,5.472499305044052,0.04210347496831423,0.0
