T,air,oxy,egr
1000.0,0.17848112209240555,0.16834489536566122,0.14851525096922527
1072.7272727272727,0.056940139691035146,0.05461012800879323,0.05492349300700469
1145.4545454545455,0.020321953179250552,0.020488346889854826,0.02196648985429726
1218.1818181818182,0.007819609854288978,0.00841978165700285,0.009175038549386805
1290.909090909091,0.0032046611596654863,0.0036855675059247078,0.0039782541146158035
1363.6363636363637,0.0013899529860889736,0.0016916730832881577,0.0017870802673318296
1436.3636363636365,0.0006346400625324236,0.0008053517068500041,0.000829292802617328
1509.090909090909,0.00030442352049205295,0.0003954810982200466,0.0003975515679838802
1581.818181818182,0.0001536912703841458,0.00020078352660132307,0.00019793220008266038
1654.5454545454545,8.198243311763952e-05,0.00010621016328703708,0.00010324501381054508
1727.2727272727275,4.6303308148696054e-05,5.9020988196295925e-05,5.6836750784068076e-05
1800.0,2.7660567285650806e-05,3.4634453224227314e-05,3.311602505480216e-05
